CONDOMASTER PRO — MODELAGEM DE DADOS (v1)	PostgreSQL · multi-tenant por condominio_id + RLS					
CONVENÇÕES GLOBAIS	Toda tabela tem: id UUID (PK, gerado), criado_em TIMESTAMP e atualizado_em TIMESTAMP — omitidos abaixo para não repetir. Toda tabela de domínio do condomínio tem condominio_id (FK) com Row-Level Security. Dinheiro sempre NUMERIC(14,2). Exclusão é lógica (deletado_em) nas tabelas com histórico.					
CONSOLIDAÇÕES DE MODELAGEM	Proprietários, inquilinos, moradores, dependentes, funcionários e prestadores NÃO são tabelas separadas: são PAPÉIS na tabela pessoa_vinculos (uma pessoa pode ter vários papéis, com vigência). Despesas e receitas são a tabela lancamentos com campo tipo. Multas e advertências são a tabela penalidades com campo tipo. Atas são documentos vinculados à assembleia + tabela atas de controle.					
						
═══ PARTE 1 · RESUMO DAS TABELAS ═══						
Nº	TABELA	DESCRIÇÃO	GRUPO			
1	saas_planos	Planos comerciais do SaaS (Essencial, Standard, Premium) com limites e módulos	SaaS			
2	saas_assinaturas	Contrato de cada condomínio com o SaaS: plano, ciclo, status, bloqueio	SaaS			
3	condominios	Cadastro-mãe de cada condomínio (tenant): dados legais, regras, identidade visual	Núcleo			
4	blocos	Torres/blocos/alas de cada condomínio	Núcleo			
5	unidades	Apartamentos, salas, lojas, coberturas, boxes e depósitos	Núcleo			
6	vagas	Vagas de garagem como ativos: fixas, rotativas ou de visitante	Núcleo			
7	pessoas	Cadastro único de pessoas físicas e jurídicas (sem papel)	Pessoas			
8	pessoa_vinculos	Papel de cada pessoa (proprietário, inquilino, morador, dependente, síndico, funcionário, prestador…) com unidade e vigência	Pessoas			
9	usuarios	Contas de acesso (login) vinculadas a pessoas	Acesso			
10	perfis	Perfis de acesso (diretor, síndico, tesouraria, morador, administradora…)	Acesso			
11	permissoes	Permissões granulares do sistema (ex.: multa.aprovar, financeiro.lancar)	Acesso			
12	perfil_permissoes	Matriz N:N perfil × permissão	Acesso			
13	usuario_perfis	Perfil de cada usuário em cada condomínio (usuário pode atuar em vários)	Acesso			
14	categorias_financeiras	Categorias e subcategorias de receita/despesa (árvore)	Financeiro			
15	fundos	Fundos do condomínio (reserva, obras) e seus saldos	Financeiro			
16	lancamentos	Receitas e despesas: competência, categoria, aprovação, rateio, anexos	Financeiro			
17	cobrancas	Títulos por unidade/competência com máquina de estados e QR	Financeiro			
18	pagamentos	Transações recebidas (webhook Verum Pay ou baixa manual)	Financeiro			
19	integracoes_pagamento	Configuração do provedor de pagamento por condomínio (Verum Pay)	Financeiro			
20	penalidades	Multas e advertências: infração, prova, defesa, decisão, reincidência	Penalidades			
21	penalidade_provas	Arquivos de prova (foto, vídeo, áudio, documento) de cada penalidade	Penalidades			
22	comunicados	Comunicados, convocações, circulares e avisos	Comunicação			
23	comunicado_destinatarios	Destinatário de cada comunicado com confirmação de leitura	Comunicação			
24	documentos	Arquivo central de documentos timbrados (PDF) com hash e retenção	Comunicação			
25	notificacoes	Fila lógica de notificações geradas pelo sistema	Comunicação			
26	envios_log	Log de cada tentativa de envio por e-mail/WhatsApp/push (auditável)	Comunicação			
27	chamados	Ordens de serviço de manutenção com custo estimado/realizado	Operação			
28	areas_comuns	Áreas reserváveis (salão, churrasqueira, quadra) e suas regras	Operação			
29	reservas	Reservas de áreas comuns por unidade	Operação			
30	assembleias	Assembleias: convocação, tipo, quórum, status	Operação			
31	atas	Ata de cada assembleia com deliberações e vínculo ao PDF timbrado	Operação			
32	pre_autorizacoes	(Portaria) Entradas pré-autorizadas com QR de acesso de uso único	Portaria			
33	acessos_portaria	(Portaria) Registro de entrada/saída/entrega/ocorrência	Portaria			
34	auditoria	Trilha append-only de toda mutação: quem, o quê, antes e depois	Governança			
						
═══ PARTE 2 · DICIONÁRIO DE DADOS ═══						
TABELA	CAMPO	TIPO	PK	FK → REFERÊNCIA	OBRIGATÓRIO	OBSERVAÇÕES
saas_planos	id	UUID	SIM		SIM	
saas_planos	nome	VARCHAR(60)			SIM	Essencial · Standard · Premium
saas_planos	preco_mensal	NUMERIC(14,2)			SIM	
saas_planos	limite_unidades	INTEGER			NÃO	NULL = ilimitado
saas_planos	modulos	JSONB			SIM	Feature flags: {"portaria":true,"whatsapp":false,…} — controla alto/baixo padrão
saas_planos	ativo	BOOLEAN			SIM	Plano descontinuado continua nas assinaturas antigas
saas_assinaturas	id	UUID	SIM		SIM	
saas_assinaturas	condominio_id	UUID		condominios.id	SIM	1 assinatura ativa por condomínio (índice único parcial)
saas_assinaturas	plano_id	UUID		saas_planos.id	SIM	
saas_assinaturas	status	ENUM			SIM	teste · ativa · inadimplente · bloqueada · cancelada
saas_assinaturas	inicio	DATE			SIM	
saas_assinaturas	renovacao	DATE			NÃO	Próxima renovação/cobrança da licença
saas_assinaturas	forma_pagamento	ENUM			SIM	verum_pay · transferencia
saas_assinaturas	bloqueada_em	TIMESTAMP			NÃO	Bloqueio = admin somente-leitura; portal do morador segue pagando
saas_assinaturas	checklist_implantacao	JSONB			NÃO	Etapas de onboarding e datas de conclusão
condominios	id	UUID	SIM		SIM	Este id é o tenant_id de todo o sistema
condominios	nome_fantasia	VARCHAR(120)			SIM	
condominios	razao_social	VARCHAR(160)			SIM	
condominios	cnpj	VARCHAR(18)			SIM	Único
condominios	inscricao_municipal	VARCHAR(30)			NÃO	
condominios	endereco	JSONB			SIM	logradouro, número, bairro, cidade, UF, CEP
condominios	tipo	ENUM			SIM	residencial · comercial · misto
condominios	porte	ENUM			SIM	alto · medio · baixo — orienta UX e módulos
condominios	regras_internas	JSONB			NÃO	silêncio, mudanças, obras, visitantes, animais, áreas comuns
condominios	identidade_visual	JSONB			NÃO	logo_url, cor_primaria, assinante padrão — usada nos timbrados
condominios	encargos_atraso	JSONB			SIM	{multa_pct:2, juros_am_pct:1, indice_correcao} — teto legal validado na aplicação
condominios	sindico_pessoa_id	UUID		pessoas.id	NÃO	Denormalização de conveniência; vínculo oficial em pessoa_vinculos
condominios	ativo	BOOLEAN			SIM	
blocos	id	UUID	SIM		SIM	
blocos	condominio_id	UUID		condominios.id	SIM	
blocos	nome	VARCHAR(40)			SIM	Ex.: Torre A, Bloco B, Térreo comercial
blocos	andares	INTEGER			NÃO	
unidades	id	UUID	SIM		SIM	
unidades	condominio_id	UUID		condominios.id	SIM	
unidades	bloco_id	UUID		blocos.id	SIM	
unidades	numero	VARCHAR(20)			SIM	Único por (condominio_id, bloco_id, numero)
unidades	tipo	ENUM			SIM	apartamento · sala · loja · cobertura · box · deposito
unidades	andar	INTEGER			NÃO	
unidades	status	ENUM			SIM	ocupada · vaga · alugada · vendida · reservada · inativa
unidades	fracao_ideal	NUMERIC(9,6)			SIM	Base do rateio; soma por condomínio validada na aplicação
unidades	area_privativa_m2	NUMERIC(10,2)			NÃO	
unidades	unidade_principal_id	UUID		unidades.id	NÃO	Auto-relacionamento: box/depósito dependente de um apto
unidades	responsavel_financeiro_id	UUID		pessoas.id	NÃO	Quem recebe a cobrança
unidades	observacoes	TEXT			NÃO	
unidades	deletado_em	TIMESTAMP			NÃO	Soft delete — histórico permanece
vagas	id	UUID	SIM		SIM	
vagas	condominio_id	UUID		condominios.id	SIM	
vagas	numero	VARCHAR(20)			SIM	
vagas	tipo	ENUM			SIM	fixa · rotativa · visitante · PCD · moto
vagas	status	ENUM			SIM	livre · vinculada · bloqueada
